,Superclass1,Superclass2,pathway,
PWY-6795,Biosynthesis,Fatty Acid and Lipid Biosynthesis,"diacylglyceryl-N,N,N-trimethylhomoserine biosynthesis",
PWY-6797,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea),
PWY-6799,Biosynthesis,Fatty Acid and Lipid Biosynthesis,fatty acid biosynthesis (plant mitochondria),
PWY-6801,Biosynthesis,Secondary Metabolite Biosynthesis,volatile esters biosynthesis (during fruit ripening),
PWY-6802,Biosynthesis,Secondary Metabolite Biosynthesis,salidroside biosynthesis,
PWY-6803,Biosynthesis,Fatty Acid and Lipid Biosynthesis,phosphatidylcholine acyl editing,
PWY-6804,Biosynthesis,Fatty Acid and Lipid Biosynthesis,diacylglycerol biosynthesis (PUFA enrichment in oilseed),
PWY-6805,Degradation/Utilization/Assimilation,Carbohydrate Degradation,cellulose degradation I (cellulosome),
PWY-6806,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,carotenoid cleavage,
PWY-6807,Degradation/Utilization/Assimilation,Carbohydrate Degradation,xyloglucan degradation II (exoglucanase),
PWY-6808,Biosynthesis,Carbohydrate Biosynthesis,dTDP-D-forosamine biosynthesis,
PWY-6809,Biosynthesis,Secondary Metabolite Biosynthesis,neoxanthin biosynthesis,
PWY-681,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,dibenzothiophene desulfurization,
PWY-6812,Degradation/Utilization/Assimilation,Carbohydrate Degradation,xyloglucan degradation III (cellobiohydrolase),
PWY-6813,Degradation/Utilization/Assimilation,Carbohydrate Degradation,glucuronoarabinoxylan degradation,
PWY-6815,Degradation/Utilization/Assimilation,Carbohydrate Degradation,porphyran degradation,
PWY-6816,Degradation/Utilization/Assimilation,Carbohydrate Degradation,agarose degradation,
PWY-6817,Degradation/Utilization/Assimilation,Carbohydrate Degradation,&lambda;-carrageenan degradation,
PWY-6818,Biosynthesis,Fatty Acid and Lipid Biosynthesis,ornithine lipid biosynthesis,
PWY-6820,Biosynthesis,Secondary Metabolite Biosynthesis,diphyllin biosynthesis,
PWY-6821,Degradation/Utilization/Assimilation,Carbohydrate Degradation,&kappa;-carrageenan degradation,
PWY-6822,Degradation/Utilization/Assimilation,Carbohydrate Degradation,&iota;-carrageenan degradation,
PWY-6823,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",molybdenum cofactor biosynthesis,
PWY-6824,Biosynthesis,Secondary Metabolite Biosynthesis,justicidin B biosynthesis,
PWY-6825,Biosynthesis,Fatty Acid and Lipid Biosynthesis,phosphatidylcholine biosynthesis V,
PWY-6826,Biosynthesis,Fatty Acid and Lipid Biosynthesis,phosphatidylcholine biosynthesis VI,
PWY-6827,Degradation/Utilization/Assimilation,Carbohydrate Degradation,gellan degradation,
PWY-6828,Detoxification,Antibiotic Resistance,linezolid resistance,
PWY-6829,Macromolecule Modification,Nucleic Acid Processing,tRNA methylation (yeast),
PWY-6830,Generation of Precursor Metabolites and Energy,Respiration,superpathway of methanogenesis,
PWY-6831,Biosynthesis,Secondary Metabolite Biosynthesis,pyrrolnitrin biosynthesis,
PWY-6832,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,2-aminoethylphosphonate degradation II,
PWY-6834,Biosynthesis,Amine and Polyamine Biosynthesis,spermidine biosynthesis III,
PWY-6835,Biosynthesis,Secondary Metabolite Biosynthesis,6-gingerol biosynthesis,
PWY-6836,Biosynthesis,Secondary Metabolite Biosynthesis,santalene biosynthesis II,
PWY-6837,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,"fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)",
PWY-6839,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,2-aminoethylphosphonate biosynthesis,
PWY-6840,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",homoglutathione biosynthesis,
PWY-6841,Detoxification,Detoxification,homophytochelatin biosynthesis,
PWY-6842,Detoxification,Detoxification,glutathione-mediated detoxification II,
PWY-6845,Biosynthesis,Metabolic Regulator Biosynthesis,nitric oxide biosynthesis (plants),
PWY-6848,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,rutin degradation,
PWY-6852,Biosynthesis,Secondary Metabolite Biosynthesis,senecionine N-oxide biosynthesis,
PWY-6853,Biosynthesis,Secondary Metabolite Biosynthesis,ethylene biosynthesis II (microbes),
PWY-6854,Biosynthesis,Secondary Metabolite Biosynthesis,ethylene biosynthesis III (microbes),
PWY-6855,Degradation/Utilization/Assimilation,Carbohydrate Degradation,chitin degradation I (archaea),
PWY-6857,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",retinol biosynthesis,
PWY-6859,Biosynthesis,Secondary Metabolite Biosynthesis,all-trans-farnesol biosynthesis,
PWY-6861,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",the visual cycle I (vertebrates),
PWY-6863,Generation of Precursor Metabolites and Energy,Fermentation,pyruvate fermentation to hexanol,
PWY-6871,Biosynthesis,Other Biosynthesis,3-methylbutanol biosynthesis,
PWY-6872,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",retinoate biosynthesis I,
PWY-6873,Generation of Precursor Metabolites and Energy,Generation of Precursor Metabolites and Energy,long chain fatty acid ester synthesis for microdiesel production,
PWY-6875,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",retinoate biosynthesis II,
PWY-6876,Generation of Precursor Metabolites and Energy,Generation of Precursor Metabolites and Energy,isopropanol biosynthesis,
PWY-6883,Generation of Precursor Metabolites and Energy,Fermentation,pyruvate fermentation to butanol II,
PWY-6886,Generation of Precursor Metabolites and Energy,Fermentation,1-butanol autotrophic biosynthesis,
PWY-6887,Biosynthesis,Secondary Metabolite Biosynthesis,kauralexin biosynthesis,
PWY-6888,Biosynthesis,Secondary Metabolite Biosynthesis,zealexin biosynthesis,
PWY-6890,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis,
PWY-6891,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",thiazole biosynthesis II (Bacillus),
PWY-6892,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",thiazole biosynthesis I (E. coli),
PWY-6893,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",thiamin diphosphate biosynthesis II (Bacillus),
PWY-6894,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",thiamin diphosphate biosynthesis I (E. coli),
PWY-6895,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of thiamin diphosphate biosynthesis II,
PWY-6896,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",thiamin salvage I,
PWY-6897,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",thiamin salvage II,
PWY-6898,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",thiamin salvage III,
PWY-6899,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",base-degraded thiamin salvage,
PWY-6900,Biosynthesis,Secondary Metabolite Biosynthesis,(Z)-butanethial-S-oxide biosynthesis,
PWY-6901,Degradation/Utilization/Assimilation,Carbohydrate Degradation,superpathway of glucose and xylose degradation,
PWY-6902,Degradation/Utilization/Assimilation,Carbohydrate Degradation,chitin degradation II,
PWY-6906,Degradation/Utilization/Assimilation,Carbohydrate Degradation,chitin derivatives degradation,
PWY-6907,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",thiamin diphosphate biosynthesis III (Staphylococcus),
PWY-6908,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",thiamin diphosphate biosynthesis IV (eukaryotes),
PWY-6909,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",thiazole biosynthesis III (eukaryotes),
PWY-6910,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",hydroxymethylpyrimidine salvage,
PWY-6913,Biosynthesis,Secondary Metabolite Biosynthesis,methylbutenol biosynthesis,
PWY-6914,Biosynthesis,Secondary Metabolite Biosynthesis,sophoraflavanone G biosynthesis,
PWY-6915,Biosynthesis,Secondary Metabolite Biosynthesis,pentalenolactone biosynthesis,
PWY-6917,Biosynthesis,Fatty Acid and Lipid Biosynthesis,vernolate biosynthesis III,
PWY-6919,Biosynthesis,Secondary Metabolite Biosynthesis,neopentalenoketolactone and pentalenate biosynthesis,
PWY-6920,Biosynthesis,Secondary Metabolite Biosynthesis,6-gingerol analog biosynthesis,
PWY-6922,Biosynthesis,Amino Acid Biosynthesis,L-N&delta;-acetylornithine biosynthesis,
PWY-6923,Biosynthesis,Secondary Metabolite Biosynthesis,ricinine degradation,
PWY-6926,Biosynthesis,Secondary Metabolite Biosynthesis,pyrethrin I biosynthesis,
PWY-6927,Degradation/Utilization/Assimilation,"Cofactor, Prosthetic Group, Electron Carrier Degradation",chlorophyll a degradation II,
PWY-6928,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,superpathway of cholesterol degradation I (cholesterol oxidase),
PWY-6930,Biosynthesis,Aromatic Compound Biosynthesis,phenolic malonylglucosides biosynthesis,
PWY-6931,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,seleno-amino acid detoxification and volatilization I,
PWY-6932,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,selenate reduction,
PWY-6933,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,seleno-amino acid detoxification and volatilization III,
PWY-6935,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,seleno-amino acid detoxification and volatilization II,
PWY-6936,Biosynthesis,Amino Acid Biosynthesis,seleno-amino acid biosynthesis,
PWY-6937,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,superpathway of testosterone and androsterone degradation,
PWY-6938,Generation of Precursor Metabolites and Energy,Generation of Precursor Metabolites and Energy,NADH repair,
PWY-6940,Biosynthesis,Fatty Acid and Lipid Biosynthesis,icosapentaenoate biosynthesis III (fungi),
PWY-6941,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,styrene degradation,
PWY-6942,Biosynthesis,Carbohydrate Biosynthesis,dTDP-D-desosamine biosynthesis,
PWY-6943,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,testosterone and androsterone degradation to androstendione,
PWY-6944,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,androstenedione degradation,
PWY-6945,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,cholesterol degradation to androstenedione I (cholesterol oxidase),
PWY-6946,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,cholesterol degradation to androstenedione II (cholesterol dehydrogenase),
PWY-6947,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,superpathway of cholesterol degradation II (cholesterol dehydrogenase),
PWY-6948,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,sitosterol degradation to androstenedione,
PWY-6949,Biosynthesis,Secondary Metabolite Biosynthesis,DIBOA-glucoside biosynthesis,
PWY-695,Biosynthesis,Secondary Metabolite Biosynthesis,abscisic acid biosynthesis,
PWY-6950,Biosynthesis,Secondary Metabolite Biosynthesis,DIMBOA-glucoside biosynthesis,
PWY-6952,Degradation/Utilization/Assimilation,Alcohol Degradation,glycerophosphodiester degradation,
PWY-6953,Biosynthesis,Carbohydrate Biosynthesis,"dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis",
PWY-6954,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,superpathway of aromatic compound degradation via 2-oxopent-4-enoate,
PWY-6955,Biosynthesis,Secondary Metabolite Biosynthesis,lincomycin biosynthesis,
PWY-6956,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,naphthalene degradation to acetyl-CoA,
PWY-6957,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,mandelate degradation to acetyl-CoA,
PWY-6958,Biosynthesis,Fatty Acid and Lipid Biosynthesis,icosapentaenoate biosynthesis I (lower eukaryotes),
PWY-6959,Degradation/Utilization/Assimilation,Carboxylate Degradation,L-ascorbate degradation V,
PWY-6960,Degradation/Utilization/Assimilation,Carboxylate Degradation,L-ascorbate degradation III,
PWY-6961,Degradation/Utilization/Assimilation,Carboxylate Degradation,"L-ascorbate degradation II (bacterial, aerobic)",
PWY-6962,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,superpathway of trimethylamine degradation,
PWY-6963,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,ammonia assimilation cycle I,
PWY-6964,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,ammonia assimilation cycle II,
PWY-6965,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,methylamine degradation II,
PWY-6966,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,methanol oxidation to formaldehyde I,
PWY-6967,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,methylamine degradation I,
PWY-6968,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,trimethylamine degradation,
PWY-6969,Generation of Precursor Metabolites and Energy,TCA cycle,TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase),
PWY-6970,Generation of Precursor Metabolites and Energy,Acetyl-CoA Biosynthesis,acetyl-CoA biosynthesis II (NADP-dependent pyruvate dehydrogenase),
PWY-6971,Biosynthesis,Secondary Metabolite Biosynthesis,oleandomycin biosynthesis,
PWY-6972,Activation/Inactivation/Interconversion,Interconversions,oleandomycin activation/inactivation,
PWY-6973,Biosynthesis,Carbohydrate Biosynthesis,"dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis",
PWY-6974,Biosynthesis,Carbohydrate Biosynthesis,dTDP-L-olivose biosynthesis,
PWY-6975,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of erythromycin biosynthesis (without sugar biosynthesis),
PWY-6976,Biosynthesis,Carbohydrate Biosynthesis,dTDP-L-mycarose biosynthesis,
PWY-6977,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of erythromycin biosynthesis,
PWY-6978,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",plastoquinol-9 biosynthesis II,
PWY-6981,Biosynthesis,Carbohydrate Biosynthesis,chitin biosynthesis,
PWY-6982,Biosynthesis,Secondary Metabolite Biosynthesis,umbelliferone biosynthesis,
PWY-6983,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",tetrahydrobiopterin biosynthesis III,
PWY-6984,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",lipoate salvage II,
PWY-6986,Degradation/Utilization/Assimilation,Carbohydrate Degradation,alginate degradation,
PWY-6987,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",lipoate biosynthesis and incorporation III (Bacillus),
PWY-6989,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,(-)-camphor degradation,
PWY-699,Biosynthesis,Secondary Metabolite Biosynthesis,brassinosteroid biosynthesis I,
PWY-6990,Biosynthesis,Secondary Metabolite Biosynthesis,(+)-camphor biosynthesis,
PWY-6991,Biosynthesis,Secondary Metabolite Biosynthesis,(-)-camphor biosynthesis,
PWY-6992,Degradation/Utilization/Assimilation,Carbohydrate Degradation,"1,5-anhydrofructose degradation",
PWY-6993,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,nicotine degradation II (pyrrolidine pathway),
PWY-6994,Biosynthesis,Amino Acid Biosynthesis,L-pyrrolysine biosynthesis,
PWY-6995,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,5-hydroxymethylfurfural degradation,
PWY-6996,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,daidzin and daidzein degradation,
PWY-6997,Detoxification,Detoxification,furfural degradation,
PWY-6998,Biosynthesis,Carbohydrate Biosynthesis,CDP-D-arabitol biosynthesis,
PWY-6999,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,theophylline degradation,
PWY-7000,Biosynthesis,Secondary Metabolite Biosynthesis,kanamycin biosynthesis,
PWY-7002,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,4-hydroxyacetophenone degradation,
PWY-7003,Generation of Precursor Metabolites and Energy,Fermentation,glycerol degradation to butanol,
PWY-7006,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,4-amino-3-hydroxybenzoate degradation,
PWY-7007,Generation of Precursor Metabolites and Energy,Generation of Precursor Metabolites and Energy,methyl ketone biosynthesis,
PWY-7008,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,2-hydroxybiphenyl degradation,
PWY-7009,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,"2,2'-dihydroxybiphenyl degradation",
PWY-701,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-methionine degradation II,
PWY-7010,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,2-propylphenol degradation,
PWY-7011,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,2-isopropylphenol degradation,
PWY-7013,Degradation/Utilization/Assimilation,Alcohol Degradation,"L-1,2-propanediol degradation",
PWY-7014,Biosynthesis,Secondary Metabolite Biosynthesis,paromamine biosynthesis I,
PWY-7015,Biosynthesis,Secondary Metabolite Biosynthesis,ribostamycin biosynthesis,
PWY-7016,Biosynthesis,Secondary Metabolite Biosynthesis,neomycin biosynthesis,
PWY-7018,Biosynthesis,Secondary Metabolite Biosynthesis,paromomycin biosynthesis,
PWY-7019,Biosynthesis,Secondary Metabolite Biosynthesis,butirosin biosynthesis,
PWY-702,Biosynthesis,Amino Acid Biosynthesis,L-methionine biosynthesis II,
PWY-7020,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of butirocin biosynthesis,
PWY-7021,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of neomycin biosynthesis,
PWY-7022,Biosynthesis,Secondary Metabolite Biosynthesis,paromamine biosynthesis II,
PWY-7024,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,superpathway of the 3-hydroxypropanoate cycle,
